,,tc,tc,tc,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,target,,,,,,,,,,,,,,,,,,
0.35100000000000003,species:Iris-virginica,[1.1120899258975645],[0.03623563959341642],[0.04839362629943503],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.401,species:Iris-setosa,[1.091643657856764],[0.03650842032381575],[0.04643148889872718],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.36363636363636365],[0.36363636363636365],[0.36363636363636365],[0.5],[0.5],[0.5],[14],[14],[14.0],[8],[8],[8.0]
0.401,species:Iris-versicolor,[1.091643657856764],[0.03650842032381575],[0.04643148889872718],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.401,species:Iris-virginica,[1.091643657856764],[0.03650842032381575],[0.04643148889872718],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.451,species:Iris-setosa,[1.1044861112394808],[0.03615300235106584],[0.04629527934578436],[0.3333333333333333],[0.3333333333333333],[0.3333333333333333],[0.45454545454545453],[0.45454545454545453],[0.45454545454545453],[0.5555555555555556],[0.5555555555555556],[0.5555555555555556],[12],[12],[12.0],[8],[8],[8.0]
0.451,species:Iris-versicolor,[1.1044861112394808],[0.03615300235106584],[0.04629527934578436],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.451,species:Iris-virginica,[1.1044861112394808],[0.03615300235106584],[0.04629527934578436],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.501,species:Iris-setosa,[1.087949445900704],[0.03641947470229002],[0.044921472588153676],[0.23333333333333334],[0.23333333333333334],[0.23333333333333334],[0.3181818181818182],[0.3181818181818182],[0.3181818181818182],[0.4666666666666667],[0.4666666666666667],[0.4666666666666667],[15],[15],[15.0],[8],[8],[8.0]
0.501,species:Iris-versicolor,[1.087949445900704],[0.03641947470229002],[0.044921472588153676],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.501,species:Iris-virginica,[1.087949445900704],[0.03641947470229002],[0.044921472588153676],[0.23333333333333334],[0.23333333333333334],[0.23333333333333334],[0.3888888888888889],[0.3888888888888889],[0.3888888888888889],[0.3684210526315789],[0.3684210526315789],[0.3684210526315789],[11],[11],[11.0],[12],[12],[12.0]
0.551,species:Iris-setosa,[1.0995470973473374],[0.03597933392925944],[0.04333989891201912],[0.3],[0.3],[0.3],[0.4090909090909091],[0.4090909090909091],[0.4090909090909091],[0.5294117647058824],[0.5294117647058824],[0.5294117647058824],[13],[13],[13.0],[8],[8],[8.0]
0.551,species:Iris-versicolor,[1.0995470973473374],[0.03597933392925944],[0.04333989891201912],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.551,species:Iris-virginica,[1.0995470973473374],[0.03597933392925944],[0.04333989891201912],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.6010000000000001,species:Iris-setosa,[1.0905262654374208],[0.03602780296073584],[0.0441628334005782],[0.23333333333333334],[0.23333333333333334],[0.23333333333333334],[0.3181818181818182],[0.3181818181818182],[0.3181818181818182],[0.4666666666666667],[0.4666666666666667],[0.4666666666666667],[15],[15],[15.0],[8],[8],[8.0]
0.6010000000000001,species:Iris-versicolor,[1.0905262654374208],[0.03602780296073584],[0.0441628334005782],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.6010000000000001,species:Iris-virginica,[1.0905262654374208],[0.03602780296073584],[0.0441628334005782],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.651,species:Iris-setosa,[1.0636171960173832],[0.03584352661245072],[0.04180217168420055],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.36363636363636365],[0.36363636363636365],[0.36363636363636365],[0.5],[0.5],[0.5],[14],[14],[14.0],[8],[8],[8.0]
0.651,species:Iris-versicolor,[1.0636171960173832],[0.03584352661245072],[0.04180217168420055],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.651,species:Iris-virginica,[1.0636171960173832],[0.03584352661245072],[0.04180217168420055],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
