,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[9.245466282515512],[7.1222688667203595],[7.2034960207646135],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.051000000000000004,[10.08096263134055],[0.6017230214834768],[2.859530634217514],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.85],[0.85],[0.85],[0.8095238095238095],[0.8095238095238095],[0.8095238095238095],[3],[3],[3.0],[4],[4],[4.0]
0.101,[9.573642788433157],[0.4153167990167422],[1.4600066906631026],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.15100000000000002,[9.501452335118216],[0.3793360503858803],[1.606032909795964],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.201,[8.863175007171959],[0.3680766512645229],[1.0120346054728728],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.251,[8.706073793144562],[0.36050325617839646],[0.8337763872623778],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.30100000000000005,[8.667623241969977],[0.356407868712724],[0.9276136754327449],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.35100000000000003,[8.041682499605418],[0.35179753445293],[0.6942379778068917],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.401,[7.778455608284897],[0.3506165861135169],[0.663696373373298],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.451,[7.681431150674138],[0.3483965246889553],[0.6144214203211245],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.501,[7.587957070610747],[0.3465807817210687],[0.6119209832869523],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.551,[7.628718019185405],[0.3458217509932598],[0.5879882872239728],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.6010000000000001,[7.363371016879634],[0.34197224788488007],[0.5947799663297147],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.651,[7.238923174264422],[0.3407453492741724],[0.5688830845804668],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
