,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[9.836263801095175],[6.897602928386035],[7.260473016481551],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.051000000000000004,[9.600312862985467],[0.026166034389632036],[0.45981891335103553],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.101,[9.23445316452331],[0.012188746501955732],[0.20353344191426584],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.15100000000000002,[8.937457634815527],[0.007094833330344699],[0.12126612252956417],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.201,[8.554201459696525],[0.00530977606496345],[0.09589052066299411],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.251,[8.348746228786265],[0.004289105361286109],[0.08060570410006104],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.30100000000000005,[7.730186367822388],[0.0036582331279826556],[0.07107696587832768],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.35100000000000003,[8.212539656962214],[0.0029204940199328492],[0.06428596684794838],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.401,[7.917402095337744],[0.0026867116151060313],[0.055363683147311736],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.451,[7.716408325163589],[0.0023802937379089014],[0.05183864163572015],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.501,[7.775412542465065],[0.0019509905712262235],[0.03881693308893727],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.551,[7.449532118613948],[0.0020881870811422136],[0.048481316728931655],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.6010000000000001,[7.557685698775895],[0.0016358357521497377],[0.03303302487257111],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.651,[7.255545049104223],[0.0015980120431797037],[0.03544774356823703],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
