,,acc,acc,acc,acc,acc,acc,acc,acc,p,p,p,p,p,p,p,p,r,r,r,r,r,r,r,r
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
lr,target,,,,,,,,,,,,,,,,,,,,,,,,
0.30100000000000005,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.30100000000000005,species:Iris-virginica,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.35100000000000003,species:Iris-setosa,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.36363636363636365,,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
0.35100000000000003,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.35100000000000003,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.401,species:Iris-setosa,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.36363636363636365,,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
0.401,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.401,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.451,species:Iris-setosa,1.0,0.3,,0.3,0.3,0.3,0.3,0.3,1.0,0.4090909090909091,,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,1.0,0.5294117647058824,,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
0.451,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.451,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.501,species:Iris-setosa,1.0,0.6,,0.6,0.6,0.6,0.6,0.6,1.0,0.8181818181818182,,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,0.6923076923076923,,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
0.501,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.501,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.551,species:Iris-setosa,1.0,0.5333333333333333,,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.7272727272727273,,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.551,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.551,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.6010000000000001,species:Iris-setosa,1.0,0.43333333333333335,,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,1.0,0.5909090909090909,,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,1.0,0.6190476190476191,,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191
0.6010000000000001,species:Iris-versicolor,1.0,0.13333333333333333,,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,0.2,,0.2,0.2,0.2,0.2,0.2,1.0,0.2857142857142857,,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
0.6010000000000001,species:Iris-virginica,1.0,0.4,,0.4,0.4,0.4,0.4,0.4,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
0.651,species:Iris-setosa,1.0,0.5,,0.5,0.5,0.5,0.5,0.5,1.0,0.6818181818181818,,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,0.6521739130434783,,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
0.651,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.651,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
