,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[10.553140152601703],[6.987930270886945],[7.098299081508632],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.051000000000000004,[10.123982225093416],[0.36615796979787885],[1.5113099539186028],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.101,[9.597669091679412],[0.352190336335694],[0.9548376551180562],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.15100000000000002,[8.81718716529369],[0.34826746234099004],[0.7896361568463479],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.201,[8.93848146833265],[0.34495138095098876],[0.674251650266584],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.251,[7.960164557897546],[0.3411639444235059],[0.5931019653431397],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.30100000000000005,[8.101436945340133],[0.3415029470312998],[0.5461203428170518],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.35100000000000003,[7.8467851137510936],[0.3372555072641045],[0.4757480566522674],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.401,[7.688121487027684],[0.33099321461771114],[0.4791549583396459],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
0.451,[7.541705987746651],[0.32826774337087716],[0.4533307720458284],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
0.501,[7.303078972369532],[0.32436990076146327],[0.4649087408269077],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
0.551,[7.253876816703583],[0.3047441026001562],[0.4500940886013743],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
0.6010000000000001,[7.202353064076845],[0.3227341922542762],[0.453577909307556],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
0.651,[7.294211243232892],[0.30459889122156614],[0.4078767806243526],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8823529411764706],[0.8823529411764706],[0.8823529411764706],[3],[3],[3.0],[2],[2],[2.0]
