,,tc,tc,tc,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,target,,,,,,,,,,,,,,,,,,
0.401,species:Iris-setosa,[24.007941396234504],[0.6911649403648593],[1.0139220423815851],[0.16666666666666666],[0.16666666666666666],[0.16666666666666666],[0.22727272727272727],[0.22727272727272727],[0.22727272727272727],[0.38461538461538464],[0.38461538461538464],[0.38461538461538464],[17],[17],[17.0],[8],[8],[8.0]
0.401,species:Iris-versicolor,[24.007941396234504],[0.6911649403648593],[1.0139220423815851],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.401,species:Iris-virginica,[24.007941396234504],[0.6911649403648593],[1.0139220423815851],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.451,species:Iris-setosa,[23.609575269017416],[0.6851321147155945],[0.9882440716720364],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.451,species:Iris-versicolor,[23.609575269017416],[0.6851321147155945],[0.9882440716720364],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.451,species:Iris-virginica,[23.609575269017416],[0.6851321147155945],[0.9882440716720364],[0.16666666666666666],[0.16666666666666666],[0.16666666666666666],[0.2777777777777778],[0.2777777777777778],[0.2777777777777778],[0.29411764705882354],[0.29411764705882354],[0.29411764705882354],[13],[13],[13.0],[12],[12],[12.0]
0.501,species:Iris-setosa,[23.009271492813795],[0.6919906370087534],[0.9758013550675613],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.501,species:Iris-versicolor,[23.009271492813795],[0.6919906370087534],[0.9758013550675613],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.501,species:Iris-virginica,[23.009271492813795],[0.6919906370087534],[0.9758013550675613],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.551,species:Iris-setosa,[22.423500334171315],[0.677853240723918],[0.9268794700015456],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.551,species:Iris-versicolor,[22.423500334171315],[0.677853240723918],[0.9268794700015456],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.551,species:Iris-virginica,[22.423500334171315],[0.677853240723918],[0.9268794700015456],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.6010000000000001,species:Iris-setosa,[22.29224147175621],[0.6880275947211114],[0.9171172499200857],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.36363636363636365],[0.36363636363636365],[0.36363636363636365],[0.5],[0.5],[0.5],[14],[14],[14.0],[8],[8],[8.0]
0.6010000000000001,species:Iris-versicolor,[22.29224147175621],[0.6880275947211114],[0.9171172499200857],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.6010000000000001,species:Iris-virginica,[22.29224147175621],[0.6880275947211114],[0.9171172499200857],[0.1],[0.1],[0.1],[0.16666666666666666],[0.16666666666666666],[0.16666666666666666],[0.2],[0.2],[0.2],[15],[15],[15.0],[12],[12],[12.0]
0.651,species:Iris-setosa,[22.02497467121105],[0.6787237797317555],[0.8825363779906553],[0.2],[0.2],[0.2],[0.2727272727272727],[0.2727272727272727],[0.2727272727272727],[0.42857142857142855],[0.42857142857142855],[0.42857142857142855],[16],[16],[16.0],[8],[8],[8.0]
0.651,species:Iris-versicolor,[22.02497467121105],[0.6787237797317555],[0.8825363779906553],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.651,species:Iris-virginica,[22.02497467121105],[0.6787237797317555],[0.8825363779906553],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
